Instrument	MoleculeGroup	PrecursorName	PrecursorAdduct	PPMS	File	Group
MS:1000490	DHA	DHA{d5}	[M-H]1-	5|10	measurements/QTof/STD_neg_MSMS_1min0137.mzML	1min0137
MS:1000490	EPA	EPA{d5}	[M-H]1-	5|10	measurements/QTof/STD_neg_MSMS_1min0139.mzML	1min0139
MS:1000490	LTB4	LTB4{d4}	[M-H]1-	5|10	measurements/QTof/STD_neg_MSMS_1min0145.mzML	1min0145
MS:1000490	LTC4	LTC4{d5}	[M-H]1-	5|10	measurements/QTof/STD_neg_MSMS_1min0232.mzML	1min0232
MS:1000490	LTD4	LTD4{d5}	[M-H]1-	5|10	measurements/QTof/STD_neg_MSMS_1min0222.mzML	1min0222
MS:1000490	PGB2	PGB2{d4}	[M-H]1-	5|10	measurements/QTof/STD_neg_MSMS_1min0220.mzML	1min0220
MS:1000490	PGD2	PGD2{d4}	[M-H]1-	5|10	measurements/QTof/STD_neg_MSMS_1min0151.mzML	1min0151
MS:1000490	PGE2	PGE2{d4}	[M-H]1-	5|10	measurements/QTof/STD_neg_MSMS_1min0241.mzML	1min0241
MS:1000490	PGE2	PGE2{d9}	[M-H]1-	5|10	measurements/QTof/STD_neg_MSMS_1min0164.mzML	1min0164
MS:1000490	PGF2alpha	PGF2alpha{d4}	[M-H]1-	5|10	measurements/QTof/STD_neg_MSMS_1min0194.mzML	1min0194
MS:1000490	PGI2	PGI2	[M-H]1-	5|10	measurements/QTof/STD_neg_MSMS_1min0196.mzML	1min0196
MS:1000490	Resolvin D1	Resolvin D1{d5}	[M-H]1-	5|10	measurements/QTof/STD_neg_MSMS_1min0152.mzML	1min0152
MS:1000490	Resolvin D2	Resolvin D2{d5}	[M-H]1-	5|10	measurements/QTof/STD_neg_MSMS_1min0197.mzML	1min0197
MS:1000490	Resolvin D3	Resolvin D3	[M-H]1-	5|10	measurements/QTof/STD_neg_MSMS_1min0210.mzML	1min0210
MS:1000490	Resolvin D5	Resolvin D5	[M-H]1-	5|10	measurements/QTof/STD_neg_MSMS_1min0212.mzML	1min0212
MS:1000490	tetranor-12-HETE	tetranor-12-HETE	[M-H]1-	5|10	measurements/QTof/STD_neg_MSMS_1min0069.mzML	1min0069
MS:1000490	TXB1	TXB1	[M-H]1-	5|10	measurements/QTof/STD_neg_MSMS_1min0155.mzML	1min0155
MS:1000490	TXB2	TXB2{d4}	[M-H]1-	5|10	measurements/QTof/STD_neg_MSMS_1min0071.mzML	1min0071
MS:1000490	TXB3	TXB3	[M-H]1-	5|10	measurements/QTof/STD_neg_MSMS_1min0072.mzML	1min0072
